Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;06 Cantabria;2015;10,3
Total Nacional;06 Cantabria;2014;9,7
Total Nacional;06 Cantabria;2013;12,1
Total Nacional;06 Cantabria;2012;14,2
Total Nacional;06 Cantabria;2011;21,4
Total Nacional;06 Cantabria;2010;23,9
Total Nacional;06 Cantabria;2009;24,2
Total Nacional;06 Cantabria;2008;22,9
Total Nacional;06 Cantabria;2007;25,5
Total Nacional;06 Cantabria;2006;23,5
Total Nacional;06 Cantabria;2005;21,9
Total Nacional;06 Cantabria;2004;26,7
Total Nacional;07 Castilla y León;2023;10,3
Total Nacional;07 Castilla y León;2022;10,7
Total Nacional;07 Castilla y León;2021;12,7
Total Nacional;07 Castilla y León;2020;15,4
Total Nacional;07 Castilla y León;2019;14,3
Total Nacional;07 Castilla y León;2018;13,9
Total Nacional;07 Castilla y León;2017;16,7
Total Nacional;07 Castilla y León;2016;17,3
Total Nacional;07 Castilla y León;2015;16,7
Total Nacional;07 Castilla y León;2014;16,8
Total Nacional;07 Castilla y León;2013;19,2
Total Nacional;07 Castilla y León;2012;21,7
Total Nacional;07 Castilla y León;2011;27,5
Total Nacional;07 Castilla y León;2010;23,4
Total Nacional;07 Castilla y León;2009;26,9
Total Nacional;07 Castilla y León;2008;26,4
Total Nacional;07 Castilla y León;2007;23,7
Total Nacional;07 Castilla y León;2006;23,6
Total Nacional;07 Castilla y León;2005;25,4
Total Nacional;07 Castilla y León;2004;23,3
Total Nacional;08 Castilla - La Mancha;2023;16,6
Total Nacional;08 Castilla - La Mancha;2022;16,2
Total Nacional;08 Castilla - La Mancha;2021;15,5
Total Nacional;08 Castilla - La Mancha;2020;18,7
Total Nacional;08 Castilla - La Mancha;2019;20,2
Total Nacional;08 Castilla - La Mancha;2018;20,5
Total Nacional;08 Castilla - La Mancha;2017;22,1
Total Nacional;08 Castilla - La Mancha;2016;23,2
Total Nacional;08 Castilla - La Mancha;2015;20,8
Total Nacional;08 Castilla - La Mancha;2014;22,2
Total Nacional;08 Castilla - La Mancha;2013;27,4
Total Nacional;08 Castilla - La Mancha;2012;27,5
Total Nacional;08 Castilla - La Mancha;2011;31,5
Total Nacional;08 Castilla - La Mancha;2010;33,4
Total Nacional;08 Castilla - La Mancha;2009;34,6
Total Nacional;08 Castilla - La Mancha;2008;38,4
Total Nacional;08 Castilla - La Mancha;2007;37,3
Total Nacional;08 Castilla - La Mancha;2006;38,8
Total Nacional;08 Castilla - La Mancha;2005;36,8
Total Nacional;08 Castilla - La Mancha;2004;37,4
Total Nacional;09 Cataluña;2023;14,8
Total Nacional;09 Cataluña;2022;17,5
Total Nacional;09 Cataluña;2021;14,9
Total Nacional;09 Cataluña;2020;17,4
Total Nacional;09 Cataluña;2019;19,0
Total Nacional;09 Cataluña;2018;17,0
Total Nacional;09 Cataluña;2017;17,0
Total Nacional;09 Cataluña;2016;18,0
Total Nacional;09 Cataluña;2015;18,9
Total Nacional;09 Cataluña;2014;22,2
Total Nacional;09 Cataluña;2013;24,7
Total Nacional;09 Cataluña;2012;24,2
Total Nacional;09 Cataluña;2011;26,2
Total Nacional;09 Cataluña;2010;28,9
Total Nacional;09 Cataluña;2009;31,9
Total Nacional;09 Cataluña;2008;32,9
